domain	phylum	class	order	family	genus	species	genbank	protein	prokka	description	oldname
Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	Telmatocola	Telmatocola_sphagniphila	CP074694.1	QVL33094	NA	MotA/TolQ/ExbB proton channel family protein	QVL33094.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax_saidenbachensis	CP019239.1	APW42573	NA	biopolymer transporter ExbD	APW42573.1_biopolymer_transporter_ExbD_[Rhodofera
Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_pittii_PHEA-2	CP002177.1	ADY81529	NA	hypothetical protein BDGL_000943	ADY81529.1_hypothetical_protein_BDGL_000943_[Acin
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Lignipirellula	Lignipirellula_cremea	CP036433.1	QDU97593	NA	Chemotaxis protein PomA	QDU97593.1_Chemotaxis_protein_PomA_[Lignipirellul
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Geovibrionaceae	Denitrovibrio	Denitrovibrio_acetiphilus_DSM_12809	CP001968.1	ADD67609	NA	MotA/TolQ/ExbB proton channel	ADD67609.1_MotA/TolQ/ExbB_proton_channel_[Denitro
Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_pittii_PHEA-2	CP002177.1	ADY81763	NA	putative biopolymer transport protein (ExbB-like)	ADY81763.1_putative_biopolymer_transport_protein_
Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium_oryzae_CBMB20	CP003811.1	AIQ89863	NA	Flagellar motor rotation protein MotA	AIQ89863.1_Flagellar_motor_rotation_protein_MotA_
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans	JAHKPP010000027.1	MBU2985725	NA	MotA/TolQ/ExbB proton channel family protein	MBU2985725.1_MotA/TolQ/ExbB_proton_channel_family
Bacteria	Pseudomonadota	Deltaproteobacteria	Bradymonadales	Bradymonadaceae	Bradymonas	Bradymonas_sediminis	CP030032.1	AWV89332	NA	MotA/TolQ/ExbB proton channel family protein	AWV89332.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_cholerae	CP043554.1	QEO41300	NA	MotA/TolQ/ExbB proton channel family protein	QEO41300.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Dissulfurispiraceae	Dissulfurispira	Dissulfurispira_thermophila	AP022873.1	BCB95125	NA	protein TolQ	BCB95125.1_protein_TolQ_[Dissulfurispira_thermoph
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex	Aquifex_aeolicus_VF5	AE000657.1	AAC07083	NA	flagellar motor protein MotA	AAC07083.1_flagellar_motor_protein_MotA_[Aquifex_
Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Nitrobacter	Nitrobacter_winogradskyi_Nb-255	CP000115.1	ABA05559	NA	outer membrane transport energization protein ExbB	ABA05559.1_outer_membrane_transport_energization_
Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter_succinogenes_subsp._succinogenes_S85	CP001792.1	ACX73656	NA	MotA/TolQ/ExbB proton channel	ACX73656.1_MotA/TolQ/ExbB_proton_channel_[Fibroba
Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Leptospirillum	Leptospirillum_ferrooxidans_C2-3	AP012342.1	BAM06016	NA	flagellar motor component	BAM06016.1_flagellar_motor_component_[Leptospiril
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas	Sulfurimonas_autotrophica_DSM_16294	CP002205.1	ADN08827	NA	MotA/TolQ/ExbB proton channel	ADN08827.1_MotA/TolQ/ExbB_proton_channel_[Sulfuri
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter_luteus	CP051774.1	QJE97381	NA	MotA/TolQ/ExbB proton channel family protein	QJE97381.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans_2-40	CP000282.1	ABD82214	NA	MotA/TolQ/ExbB proton channel	ABD82214.1_MotA/TolQ/ExbB_proton_channel_[Sacchar
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Nibricoccus	Nibricoccus_aquaticus	CP023344.1	ATC65746	NA	flagellar motor protein MotA	ATC65746.1_flagellar_motor_protein_MotA_[Nibricoc
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter_dehalogenans_2CP-1	CP001359.1	ACL65905	NA	MotA/TolQ/ExbB proton channel	ACL65905.1_MotA/TolQ/ExbB_proton_channel_[Anaerom
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Ereboglobus	Ereboglobus_luteus	CP023004.1	AWI09431	NA	flagellar motor protein MotA	AWI09431.1_flagellar_motor_protein_MotA_[Ereboglo
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium_capsulatum_ATCC_51196	CP001472.1	ACO32834	NA	transporter MotA/TolQ/ExbB proton channel family	"ACO32834.1_transporter,_MotA/TolQ/ExbB_proton_cha"
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Nibricoccus	Nibricoccus_aquaticus	CP023344.1	ATC63650	NA	flagellar motor protein MotA	ATC63650.1_flagellar_motor_protein_MotA_[Nibricoc
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_aeruginosa_PAO1	AE004091.2	AAG04849	NA	MotC	AAG04849.1_MotC_[Pseudomonas_aeruginosa_PAO1]
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum	Sulfurospirillum_halorespirans_DSM_13726	CP017111.1	AOO65115	NA	flagellar motor rotation protein MotA	AOO65115.1_flagellar_motor_rotation_protein_MotA_
Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_parahaemolyticus_RIMD_2210633	BA000031.2	BAC58428	NA	TonB system transport protein ExbB2	BAC58428.1_TonB_system_transport_protein_ExbB2_[V
Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiella	Kiritimatiella_glycovorans	CP010904.1	AKJ65465	NA	Biopolymer transport protein ExbB	AKJ65465.1_Biopolymer_transport_protein_ExbB_[Kir
Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_aeruginosa_PAO1	AE004091.2	AAG03587	NA	transport protein ExbB	AAG03587.1_transport_protein_ExbB_[Pseudomonas_ae
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium_capsulatum_ATCC_51196	CP001472.1	ACO31817	NA	transporter MotA/TolQ/ExbB proton channel family	"ACO31817.1_transporter,_MotA/TolQ/ExbB_proton_cha"
Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas_subvibrioides_ATCC_15264	CP002102.1	ADL02462	NA	MotA/TolQ/ExbB proton channel	ADL02462.1_MotA/TolQ/ExbB_proton_channel_[Brevund
Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	Telmatocola	Telmatocola_sphagniphila	CP074694.1	QVL34843	NA	MotA/TolQ/ExbB proton channel family protein	QVL34843.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans_2-40	CP000282.1	ABD82818	NA	MotA/TolQ/ExbB proton channel	ABD82818.1_MotA/TolQ/ExbB_proton_channel_[Sacchar
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans	JAHKPP010000046.1	MBU2987451	NA	MotA/TolQ/ExbB proton channel family protein	MBU2987451.1_MotA/TolQ/ExbB_proton_channel_family
Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter_pittii_PHEA-2	CP002177.1	ADY82611	NA	tolerance to group A colicins single-stranded DNA filamentous	"ADY82611.1_tolerance_to_group_A_colicins,_single-"
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DK_1622	CP000113.1	ABF85904	NA	MotA/TolQ/ExbB proton channel family protein	ABF85904.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DK_1622	CP000113.1	ABF92363	NA	transporter MotA/TolQ/ExbB proton channel family	"ABF92363.1_transporter,_MotA/TolQ/ExbB_proton_cha"
Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Bryobacteraceae	Paludibaculum	Paludibaculum_fermentans	CP063849.1	QOY89286	NA	MotA/TolQ/ExbB proton channel family protein	QOY89286.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_concisus	CP012541.1	ALF47869	NA	flagellar motor protein	ALF47869.1_flagellar_motor_protein_[Campylobacter
Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Bryobacteraceae	Paludibaculum	Paludibaculum_fermentans	CP063849.1	QOY85398	NA	flagellar motor protein	QOY85398.1_flagellar_motor_protein_[Paludibaculum
Bacteria	Pseudomonadota	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	Mariprofundus_ferrinatatus	CP018800.1	ATX81939	NA	Cell division and transport-associated protein TolQ	ATX81939.1_Cell_division_and_transport-associated
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia_coli_str._K-12_substr._MG1655	U00096.3	AAC73831	NA	Tol-Pal system protein TolQ	AAC73831.1_Tol-Pal_system_protein_TolQ_[Escherich
Bacteria	Deinococcus-Thermus	Deinococci	Trueperales	Trueperaceae	Truepera	Truepera_radiovictrix_DSM_17093	CP002049.1	ADI15492	NA	MotA/TolQ/ExbB proton channel	ADI15492.1_MotA/TolQ/ExbB_proton_channel_[Trueper
Bacteria	Pseudomonadota	Oligoflexia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio_bacteriovorus	CP007656.1	AHZ84037	NA	adventurous gliding motility protein R	AHZ84037.1_adventurous_gliding_motility_protein_R
Bacteria	Bacillota	Limnochordia	Limnochordales	Limnochordaceae	Limnochorda	Limnochorda_pilosa	AP014924.1	BAS27557	NA	MotA/TolQ/ExbB proton channel family protein	BAS27557.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia_pestis	CP009844.1	AJJ31712	NA	protein TolQ	AJJ31712.1_protein_TolQ_[Yersinia_pestis]
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Pseudoleptotrichia	Pseudoleptotrichia_goodfellowii	AP019822.1	BBM36826	NA	MotA/TolQ/ExbB proton channel	BBM36826.1_MotA/TolQ/ExbB_proton_channel_[Pseudol
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium_capsulatum_ATCC_51196	CP001472.1	ACO33337	NA	putative chemotaxis MotA protein	ACO33337.1_putative_chemotaxis_MotA_protein_[Acid
Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Mucispirillaceae	Mucispirillum	Mucispirillum_schaedleri_ASF457	CP097562.1	USF23676	NA	Chemotaxis protein PomA	USF23676.1_Chemotaxis_protein_PomA_[Mucispirillum
Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	Sedimentisphaeraceae	Sedimentisphaera	Sedimentisphaera_salicampi	CP021023.1	ARN57240	NA	Biopolymer transport protein ExbB	ARN57240.1_Biopolymer_transport_protein_ExbB_[Sed
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter_luteus	CP051774.1	QJE95399	NA	hypothetical protein HHL09_06260	QJE95399.1_hypothetical_protein_HHL09_06260_[Lute
Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Rubinisphaera	Rubinisphaera_brasiliensis_DSM_5305	CP002546.1	ADY61978	NA	MotA/TolQ/ExbB proton channel	ADY61978.1_MotA/TolQ/ExbB_proton_channel_[Rubinis
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	Pirellula_staleyi_DSM_6068	CP001848.1	ADB17458	NA	MotA/TolQ/ExbB proton channel	ADB17458.1_MotA/TolQ/ExbB_proton_channel_[Pirellu
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Anatilimnocola	Anatilimnocola_aggregata	CP036274.1	QDU25322	NA	Biopolymer transport protein ExbB	QDU25322.1_Biopolymer_transport_protein_ExbB_[Ana
Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter_succinogenes_subsp._succinogenes_S85	CP001792.1	ACX75330	NA	MotA/TolQ/ExbB proton channel	ACX75330.1_MotA/TolQ/ExbB_proton_channel_[Fibroba
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	Pirellula_staleyi_DSM_6068	CP001848.1	ADB18835	NA	MotA/TolQ/ExbB proton channel	ADB18835.1_MotA/TolQ/ExbB_proton_channel_[Pirellu
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax_saidenbachensis	CP019239.1	APW42557	NA	biopolymer transporter	APW42557.1_biopolymer_transporter_[Rhodoferax_sai
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax_saidenbachensis	CP019239.1	APW42908	NA	flagellar motor stator protein MotA	APW42908.1_flagellar_motor_stator_protein_MotA_[R
Bacteria	Pseudomonadota	Deltaproteobacteria	Bradymonadales	Bradymonadaceae	Bradymonas	Bradymonas_sediminis	CP030032.1	AWV89461	NA	MotA/TolQ/ExbB proton channel family protein	AWV89461.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_actinosclerus	CP013910.1	ALW88052	NA	biopolymer transporter	ALW88052.1_biopolymer_transporter_[Deinococcus_ac
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Nibricoccus	Nibricoccus_aquaticus	CP023344.1	ATC62595	NA	flagellar motor protein MotA	ATC62595.1_flagellar_motor_protein_MotA_[Nibricoc
Bacteria	Pseudomonadota	Deltaproteobacteria	Bradymonadales	Bradymonadaceae	Bradymonas	Bradymonas_sediminis	CP030032.1	AWV88047	NA	MotA/TolQ/ExbB proton channel family protein	AWV88047.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans_2-40	CP000282.1	ABD79618	NA	MotA/TolQ/ExbB proton channel	ABD79618.1_MotA/TolQ/ExbB_proton_channel_[Sacchar
Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Candidatus Midichloriaceae	Candidatus Midichloria	Candidatus_Midichloria_mitochondrii_IricVA	CP002130.1	AEI89251	NA	flagellar motor protein MotA	AEI89251.1_flagellar_motor_protein_MotA_[Candidat
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella_aurantiaca_DW4/3-1	CP002271.1	ADO73220	NA	MotA/TolQ/ExbB proton channel family protein	ADO73220.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Acidobacteria	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Sulfidibacter	Sulfidibacter_corallicola	CP071793.1	QTD53836	NA	MotA/TolQ/ExbB proton channel family protein	QTD53836.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_autoethanogenum_DSM_10061	CP012395.1	ALU34477	NA	MotA/TolQ/ExbB proton channel	ALU34477.1_MotA/TolQ/ExbB_proton_channel_[Clostri
Bacteria	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	Thermodesulfovibrio	Thermodesulfovibrio_yellowstonii_DSM_11347	CP001147.1	ACI21445	NA	lateral flagellar motor protein MotA	ACI21445.1_lateral_flagellar_motor_protein_MotA_[
Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Isosphaera	Isosphaera_pallida_ATCC_43644	CP002353.1	ADV60824	NA	MotA/TolQ/ExbB proton channel	ADV60824.1_MotA/TolQ/ExbB_proton_channel_[Isospha
Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Nitrobacter	Nitrobacter_winogradskyi_Nb-255	CP000115.1	ABA05973	NA	Cell division and transport-associated protein TolQ	ABA05973.1_Cell_division_and_transport-associated
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex	Aquifex_aeolicus_VF5	AE000657.1	AAC07752	NA	TolQ-like protein	AAC07752.1_TolQ-like_protein_[Aquifex_aeolicus_VF
Bacteria	Cyanobacteria	Gloeobacteria	Gloeobacterales	Gloeobacteraceae	Gloeobacter	Gloeobacter_violaceus_PCC_7421	BA000045.2	BAC89328	NA	glr1387	BAC89328.1_glr1387_[Gloeobacter_violaceus_PCC_742
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DK_1622	CP000113.1	ABF91581	NA	transporter MotA/TolQ/ExbB proton channel family	"ABF91581.1_transporter,_MotA/TolQ/ExbB_proton_cha"
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium_cellulosum	CP012670.1	AUX24210	NA	flagellar motor protein MotA	AUX24210.1_flagellar_motor_protein_MotA_[Sorangiu
Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira_moscoviensis	CP011801.1	ALA57346	NA	Biopolymer transport protein exbB	ALA57346.1_Biopolymer_transport_protein_exbB_[Nit
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans_2-40	CP000282.1	ABD81419	NA	MotA/TolQ/ExbB proton channel	ABD81419.1_MotA/TolQ/ExbB_proton_channel_[Sacchar
Bacteria	Pseudomonadota	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	Mariprofundus_ferrinatatus	CP018800.1	ATX81215	NA	biopolymer transport protein ExbB	ATX81215.1_biopolymer_transport_protein_ExbB_[Mar
Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio_parahaemolyticus_RIMD_2210633	BA000031.2	BAC58952	NA	sodium-driven polar flagellar protein MotA	BAC58952.1_sodium-driven_polar_flagellar_protein_
Bacteria	Nitrospirae	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	Thermodesulfovibrio	Thermodesulfovibrio_yellowstonii_DSM_11347	CP001147.1	ACI22061	NA	TolQ protein	ACI22061.1_TolQ_protein_[Thermodesulfovibrio_yell
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans	JAHKPP010000009.1	MBU2984728	NA	MotA/TolQ/ExbB proton channel family protein	MBU2984728.1_MotA/TolQ/ExbB_proton_channel_family
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Saccharophagus	Saccharophagus_degradans_2-40	CP000282.1	ABD82476	NA	MotA/TolQ/ExbB proton channel	ABD82476.1_MotA/TolQ/ExbB_proton_channel_[Sacchar
Bacteria	Elusimicrobia	Endomicrobia	Endomicrobiales	Endomicrobiaceae	Endomicrobium	Endomicrobium_proavitum	CP009498.1	AKL98121	NA	putative Transporter MotA/TolQ/ExbB proton channel family protein	"AKL98121.1_putative_Transporter,_MotA/TolQ/ExbB_p"
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus_xanthus_DK_1622	CP000113.1	ABF90777	NA	MotA/TolQ/ExbB proton channel family protein	ABF90777.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Ereboglobus	Ereboglobus_luteus	CP023004.1	AWI08418	NA	flagellar motor protein MotA	AWI08418.1_flagellar_motor_protein_MotA_[Ereboglo
Bacteria	Kiritimatiellaeota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	Kiritimatiella	Kiritimatiella_glycovorans	CP010904.1	AKJ64099	NA	Biopolymer transport protein ExbB	AKJ64099.1_Biopolymer_transport_protein_ExbB_[Kir
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_concisus	CP012541.1	ALF47140	NA	TonB system transport protein ExbB	ALF47140.1_TonB_system_transport_protein_ExbB_[Ca
Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio_japonicus	CP043306.1	QEI18408	NA	MotA/TolQ/ExbB proton channel family protein	QEI18408.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter_nitrofigilis_DSM_7299	CP001999.1	ADG93510	NA	tonB-system energizer ExbB	ADG93510.1_tonB-system_energizer_ExbB_[Arcobacter
Bacteria	Chloroflexi	Tepidiformia	Tepidiformales	Tepidiformaceae	Tepidiforma	Tepidiforma_bonchosmolovskayae	CP042829.1	QFG02534	NA	flagellar motor protein	QFG02534.1_flagellar_motor_protein_[Tepidiforma_b
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia_pestis	CP009844.1	AJJ32465	NA	flagellar motor stator protein MotA	AJJ32465.1_flagellar_motor_stator_protein_MotA_[Y
Bacteria	Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Desulfitobacterium	Desulfitobacterium_hafniense_DCB-2	CP001336.1	ACL22206	NA	MotA/TolQ/ExbB proton channel	ACL22206.1_MotA/TolQ/ExbB_proton_channel_[Desulfi
Bacteria	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Pontibacter	Pontibacter_korlensis	CP009621.1	AKD04823	NA	biopolymer transporter ExbB	AKD04823.1_biopolymer_transporter_ExbB_[Pontibact
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium_ulcerans	CP028105.1	AVQ28424	NA	MotA/TolQ/ExbB proton channel family protein	AVQ28424.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	Telmatocola	Telmatocola_sphagniphila	CP074694.1	QVL32859	NA	MotA/TolQ/ExbB proton channel family protein	QVL32859.1_MotA/TolQ/ExbB_proton_channel_family_p
Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Archangiaceae	Stigmatella	Stigmatella_aurantiaca_DW4/3-1	CP002271.1	ADO70054	NA	TolQ protein	ADO70054.1_TolQ_protein_[Stigmatella_aurantiaca_D
Bacteria	Pseudomonadota	Alphaproteobacteria	Holosporales	Holosporaceae	Candidatus Hydrogenosomobacter	Candidatus_Hydrogenosomobacter_endosymbioticus	AP025225.1	BDB95989	NA	hypothetical protein HYD_1220	BDB95989.1_hypothetical_protein_HYD_1220_[Candida
Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax_saidenbachensis	CP019239.1	APW43194	NA	flagellar motor stator protein MotA	APW43194.1_flagellar_motor_stator_protein_MotA_[R
Bacteria	Pseudomonadota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter_concisus	CP012541.1	ALF47162	NA	Tol-Pal system subunit TolQ	ALF47162.1_Tol-Pal_system_subunit_TolQ_[Campyloba
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_aerogenes	CP077293.1	QXB11670	NA	flagellar motor stator protein MotA	QXB11670.1_flagellar_motor_stator_protein_MotA_[K
Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus_terrae_PB90-1	CP001032.1	ACB75629	NA	MotA/TolQ/ExbB proton channel	ACB75629.1_MotA/TolQ/ExbB_proton_channel_[Opitutu
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Pirellula	Pirellula_staleyi_DSM_6068	CP001848.1	ADB18997	NA	MotA/TolQ/ExbB proton channel	ADB18997.1_MotA/TolQ/ExbB_proton_channel_[Pirellu
Bacteria	Pseudomonadota	Zetaproteobacteria	Mariprofundales	Mariprofundaceae	Mariprofundus	Mariprofundus_aestuarium	CP018799.1	ATX78592	NA	chemotaxis protein MotA	ATX78592.1_chemotaxis_protein_MotA_[Mariprofundus
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter	Hydrogenobacter_thermophilus_TK-6	CP002221.1	ADO46046	NA	tonB-system energizer ExbB	ADO46046.1_tonB-system_energizer_ExbB_[Hydrogenob
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Thermocrinis	Thermocrinis_ruber	CP007028.1	AHE95900	NA	flagellar motor protein MotA	AHE95900.1_flagellar_motor_protein_MotA_[Thermocr
Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Anatilimnocola	Anatilimnocola_aggregata	CP036274.1	QDU28596	NA	hypothetical protein ETAA8_36990	QDU28596.1_hypothetical_protein_ETAA8_36990_[Anat
Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_alpina	CP061038.1	QNQ08565	NA	DUF2341 domain-containing protein	QNQ08565.1_DUF2341_domain-containing_protein_[Sph
Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	Telmatocola	Telmatocola_sphagniphila	CP074694.1	QVL32579	NA	MotA/TolQ/ExbB proton channel family protein	QVL32579.1_MotA/TolQ/ExbB_proton_channel_family_p
